model_name,architecture,categorical_enhancement,general_lpp,emotional_lpp,lpp_form,free_parameter_count,free_parameters,free_parameter_bounds,fixed_parameters,model_factory
CMR,temporal,False,False,False,none,9,encoding_drift_rate;start_drift_rate;recall_drift_rate;shared_support;item_support;learning_rate;primacy_scale;primacy_decay;choice_sensitivity,"{""choice_sensitivity"": [2.220446049250313e-16, 100.0], ""encoding_drift_rate"": [2.220446049250313e-16, 0.9999999999999998], ""item_support"": [2.220446049250313e-16, 100.0], ""learning_rate"": [2.220446049250313e-16, 0.9999999999999998], ""primacy_decay"": [2.220446049250313e-16, 100.0], ""primacy_scale"": [2.220446049250313e-16, 100.0], ""recall_drift_rate"": [2.220446049250313e-16, 0.9999999999999998], ""shared_support"": [2.220446049250313e-16, 100.0], ""start_drift_rate"": [2.220446049250313e-16, 0.9999999999999998]}","{""allow_repeated_recalls"": false, ""emotion_scale"": 1.0, ""learn_after_context_update"": true, ""lpp_inter_scale"": 0.0, ""lpp_main_scale"": 0.0}",lpp_ecmr.models.single_eeg_ecmr.make_factory
CMR_LPP_General,temporal,False,True,False,general,10,encoding_drift_rate;start_drift_rate;recall_drift_rate;shared_support;item_support;learning_rate;primacy_scale;primacy_decay;choice_sensitivity;lpp_main_scale,"{""choice_sensitivity"": [2.220446049250313e-16, 100.0], ""encoding_drift_rate"": [2.220446049250313e-16, 0.9999999999999998], ""item_support"": [2.220446049250313e-16, 100.0], ""learning_rate"": [2.220446049250313e-16, 0.9999999999999998], ""lpp_main_scale"": [0.0, 0.21454430108484696], ""primacy_decay"": [2.220446049250313e-16, 100.0], ""primacy_scale"": [2.220446049250313e-16, 100.0], ""recall_drift_rate"": [2.220446049250313e-16, 0.9999999999999998], ""shared_support"": [2.220446049250313e-16, 100.0], ""start_drift_rate"": [2.220446049250313e-16, 0.9999999999999998]}","{""allow_repeated_recalls"": false, ""emotion_scale"": 1.0, ""learn_after_context_update"": true, ""lpp_inter_scale"": 0.0}",lpp_ecmr.models.single_eeg_ecmr.make_factory
CMR_LPP_EmotionalOnly,temporal,False,False,True,emotional_only,10,encoding_drift_rate;start_drift_rate;recall_drift_rate;shared_support;item_support;learning_rate;primacy_scale;primacy_decay;choice_sensitivity;lpp_inter_scale,"{""choice_sensitivity"": [2.220446049250313e-16, 100.0], ""encoding_drift_rate"": [2.220446049250313e-16, 0.9999999999999998], ""item_support"": [2.220446049250313e-16, 100.0], ""learning_rate"": [2.220446049250313e-16, 0.9999999999999998], ""lpp_inter_scale"": [0.0, 0.21454430108484696], ""primacy_decay"": [2.220446049250313e-16, 100.0], ""primacy_scale"": [2.220446049250313e-16, 100.0], ""recall_drift_rate"": [2.220446049250313e-16, 0.9999999999999998], ""shared_support"": [2.220446049250313e-16, 100.0], ""start_drift_rate"": [2.220446049250313e-16, 0.9999999999999998]}","{""allow_repeated_recalls"": false, ""emotion_scale"": 1.0, ""learn_after_context_update"": true, ""lpp_main_scale"": 0.0}",lpp_ecmr.models.single_eeg_ecmr.make_factory
CMR_LPP_Full,temporal,False,True,True,full,11,encoding_drift_rate;start_drift_rate;recall_drift_rate;shared_support;item_support;learning_rate;primacy_scale;primacy_decay;choice_sensitivity;lpp_main_scale;lpp_inter_scale,"{""choice_sensitivity"": [2.220446049250313e-16, 100.0], ""encoding_drift_rate"": [2.220446049250313e-16, 0.9999999999999998], ""item_support"": [2.220446049250313e-16, 100.0], ""learning_rate"": [2.220446049250313e-16, 0.9999999999999998], ""lpp_inter_scale"": [0.0, 0.21454430108484696], ""lpp_main_scale"": [0.0, 0.21454430108484696], ""primacy_decay"": [2.220446049250313e-16, 100.0], ""primacy_scale"": [2.220446049250313e-16, 100.0], ""recall_drift_rate"": [2.220446049250313e-16, 0.9999999999999998], ""shared_support"": [2.220446049250313e-16, 100.0], ""start_drift_rate"": [2.220446049250313e-16, 0.9999999999999998]}","{""allow_repeated_recalls"": false, ""emotion_scale"": 1.0, ""learn_after_context_update"": true}",lpp_ecmr.models.single_eeg_ecmr.make_factory
EEM_CMR,temporal,True,False,False,none,10,encoding_drift_rate;start_drift_rate;recall_drift_rate;shared_support;item_support;learning_rate;primacy_scale;primacy_decay;choice_sensitivity;emotion_scale,"{""choice_sensitivity"": [2.220446049250313e-16, 100.0], ""emotion_scale"": [2.220446049250313e-16, 10.0], ""encoding_drift_rate"": [2.220446049250313e-16, 0.9999999999999998], ""item_support"": [2.220446049250313e-16, 100.0], ""learning_rate"": [2.220446049250313e-16, 0.9999999999999998], ""primacy_decay"": [2.220446049250313e-16, 100.0], ""primacy_scale"": [2.220446049250313e-16, 100.0], ""recall_drift_rate"": [2.220446049250313e-16, 0.9999999999999998], ""shared_support"": [2.220446049250313e-16, 100.0], ""start_drift_rate"": [2.220446049250313e-16, 0.9999999999999998]}","{""allow_repeated_recalls"": false, ""learn_after_context_update"": true, ""lpp_inter_scale"": 0.0, ""lpp_main_scale"": 0.0}",lpp_ecmr.models.single_eeg_ecmr.make_factory
EEM_CMR_LPP_General,temporal,True,True,False,general,11,encoding_drift_rate;start_drift_rate;recall_drift_rate;shared_support;item_support;learning_rate;primacy_scale;primacy_decay;choice_sensitivity;emotion_scale;lpp_main_scale,"{""choice_sensitivity"": [2.220446049250313e-16, 100.0], ""emotion_scale"": [2.220446049250313e-16, 10.0], ""encoding_drift_rate"": [2.220446049250313e-16, 0.9999999999999998], ""item_support"": [2.220446049250313e-16, 100.0], ""learning_rate"": [2.220446049250313e-16, 0.9999999999999998], ""lpp_main_scale"": [0.0, 0.21454430108484696], ""primacy_decay"": [2.220446049250313e-16, 100.0], ""primacy_scale"": [2.220446049250313e-16, 100.0], ""recall_drift_rate"": [2.220446049250313e-16, 0.9999999999999998], ""shared_support"": [2.220446049250313e-16, 100.0], ""start_drift_rate"": [2.220446049250313e-16, 0.9999999999999998]}","{""allow_repeated_recalls"": false, ""learn_after_context_update"": true, ""lpp_inter_scale"": 0.0}",lpp_ecmr.models.single_eeg_ecmr.make_factory
EEM_CMR_LPP_EmotionalOnly,temporal,True,False,True,emotional_only,11,encoding_drift_rate;start_drift_rate;recall_drift_rate;shared_support;item_support;learning_rate;primacy_scale;primacy_decay;choice_sensitivity;emotion_scale;lpp_inter_scale,"{""choice_sensitivity"": [2.220446049250313e-16, 100.0], ""emotion_scale"": [2.220446049250313e-16, 10.0], ""encoding_drift_rate"": [2.220446049250313e-16, 0.9999999999999998], ""item_support"": [2.220446049250313e-16, 100.0], ""learning_rate"": [2.220446049250313e-16, 0.9999999999999998], ""lpp_inter_scale"": [0.0, 0.21454430108484696], ""primacy_decay"": [2.220446049250313e-16, 100.0], ""primacy_scale"": [2.220446049250313e-16, 100.0], ""recall_drift_rate"": [2.220446049250313e-16, 0.9999999999999998], ""shared_support"": [2.220446049250313e-16, 100.0], ""start_drift_rate"": [2.220446049250313e-16, 0.9999999999999998]}","{""allow_repeated_recalls"": false, ""learn_after_context_update"": true, ""lpp_main_scale"": 0.0}",lpp_ecmr.models.single_eeg_ecmr.make_factory
EEM_CMR_LPP_Full,temporal,True,True,True,full,12,encoding_drift_rate;start_drift_rate;recall_drift_rate;shared_support;item_support;learning_rate;primacy_scale;primacy_decay;choice_sensitivity;emotion_scale;lpp_main_scale;lpp_inter_scale,"{""choice_sensitivity"": [2.220446049250313e-16, 100.0], ""emotion_scale"": [2.220446049250313e-16, 10.0], ""encoding_drift_rate"": [2.220446049250313e-16, 0.9999999999999998], ""item_support"": [2.220446049250313e-16, 100.0], ""learning_rate"": [2.220446049250313e-16, 0.9999999999999998], ""lpp_inter_scale"": [0.0, 0.21454430108484696], ""lpp_main_scale"": [0.0, 0.21454430108484696], ""primacy_decay"": [2.220446049250313e-16, 100.0], ""primacy_scale"": [2.220446049250313e-16, 100.0], ""recall_drift_rate"": [2.220446049250313e-16, 0.9999999999999998], ""shared_support"": [2.220446049250313e-16, 100.0], ""start_drift_rate"": [2.220446049250313e-16, 0.9999999999999998]}","{""allow_repeated_recalls"": false, ""learn_after_context_update"": true}",lpp_ecmr.models.single_eeg_ecmr.make_factory
CategoryOnly_eCMR,source,False,False,False,none,11,encoding_drift_rate;start_drift_rate;recall_drift_rate;shared_support;item_support;learning_rate;primacy_scale;primacy_decay;choice_sensitivity;source_encoding_drift_rate;source_learning_rate,"{""choice_sensitivity"": [2.220446049250313e-16, 100.0], ""encoding_drift_rate"": [2.220446049250313e-16, 0.9999999999999998], ""item_support"": [2.220446049250313e-16, 100.0], ""learning_rate"": [2.220446049250313e-16, 0.9999999999999998], ""primacy_decay"": [2.220446049250313e-16, 100.0], ""primacy_scale"": [2.220446049250313e-16, 100.0], ""recall_drift_rate"": [2.220446049250313e-16, 0.9999999999999998], ""shared_support"": [2.220446049250313e-16, 100.0], ""source_encoding_drift_rate"": [2.220446049250313e-16, 0.9999999999999998], ""source_learning_rate"": [2.220446049250313e-16, 10.0], ""start_drift_rate"": [2.220446049250313e-16, 0.9999999999999998]}","{""allow_repeated_recalls"": false, ""emotion_scale"": 1.0, ""learn_after_context_update"": true, ""lpp_inter_scale"": 0.0, ""lpp_main_scale"": 0.0, ""phi_emot_modulates_temporal"": false, ""source_recall_drift_rate"": 1.0}",lpp_ecmr.models.full_eeg_ecmr.make_factory
CategoryOnly_eCMR_LPP_General,source,False,True,False,general,12,encoding_drift_rate;start_drift_rate;recall_drift_rate;shared_support;item_support;learning_rate;primacy_scale;primacy_decay;choice_sensitivity;lpp_main_scale;source_encoding_drift_rate;source_learning_rate,"{""choice_sensitivity"": [2.220446049250313e-16, 100.0], ""encoding_drift_rate"": [2.220446049250313e-16, 0.9999999999999998], ""item_support"": [2.220446049250313e-16, 100.0], ""learning_rate"": [2.220446049250313e-16, 0.9999999999999998], ""lpp_main_scale"": [0.0, 0.21454430108484696], ""primacy_decay"": [2.220446049250313e-16, 100.0], ""primacy_scale"": [2.220446049250313e-16, 100.0], ""recall_drift_rate"": [2.220446049250313e-16, 0.9999999999999998], ""shared_support"": [2.220446049250313e-16, 100.0], ""source_encoding_drift_rate"": [2.220446049250313e-16, 0.9999999999999998], ""source_learning_rate"": [2.220446049250313e-16, 10.0], ""start_drift_rate"": [2.220446049250313e-16, 0.9999999999999998]}","{""allow_repeated_recalls"": false, ""emotion_scale"": 1.0, ""learn_after_context_update"": true, ""lpp_inter_scale"": 0.0, ""phi_emot_modulates_temporal"": false, ""source_recall_drift_rate"": 1.0}",lpp_ecmr.models.full_eeg_ecmr.make_factory
CategoryOnly_eCMR_LPP_EmotionalOnly,source,False,False,True,emotional_only,12,encoding_drift_rate;start_drift_rate;recall_drift_rate;shared_support;item_support;learning_rate;primacy_scale;primacy_decay;choice_sensitivity;lpp_inter_scale;source_encoding_drift_rate;source_learning_rate,"{""choice_sensitivity"": [2.220446049250313e-16, 100.0], ""encoding_drift_rate"": [2.220446049250313e-16, 0.9999999999999998], ""item_support"": [2.220446049250313e-16, 100.0], ""learning_rate"": [2.220446049250313e-16, 0.9999999999999998], ""lpp_inter_scale"": [0.0, 0.21454430108484696], ""primacy_decay"": [2.220446049250313e-16, 100.0], ""primacy_scale"": [2.220446049250313e-16, 100.0], ""recall_drift_rate"": [2.220446049250313e-16, 0.9999999999999998], ""shared_support"": [2.220446049250313e-16, 100.0], ""source_encoding_drift_rate"": [2.220446049250313e-16, 0.9999999999999998], ""source_learning_rate"": [2.220446049250313e-16, 10.0], ""start_drift_rate"": [2.220446049250313e-16, 0.9999999999999998]}","{""allow_repeated_recalls"": false, ""emotion_scale"": 1.0, ""learn_after_context_update"": true, ""lpp_main_scale"": 0.0, ""phi_emot_modulates_temporal"": false, ""source_recall_drift_rate"": 1.0}",lpp_ecmr.models.full_eeg_ecmr.make_factory
CategoryOnly_eCMR_LPP_Full,source,False,True,True,full,13,encoding_drift_rate;start_drift_rate;recall_drift_rate;shared_support;item_support;learning_rate;primacy_scale;primacy_decay;choice_sensitivity;lpp_main_scale;lpp_inter_scale;source_encoding_drift_rate;source_learning_rate,"{""choice_sensitivity"": [2.220446049250313e-16, 100.0], ""encoding_drift_rate"": [2.220446049250313e-16, 0.9999999999999998], ""item_support"": [2.220446049250313e-16, 100.0], ""learning_rate"": [2.220446049250313e-16, 0.9999999999999998], ""lpp_inter_scale"": [0.0, 0.21454430108484696], ""lpp_main_scale"": [0.0, 0.21454430108484696], ""primacy_decay"": [2.220446049250313e-16, 100.0], ""primacy_scale"": [2.220446049250313e-16, 100.0], ""recall_drift_rate"": [2.220446049250313e-16, 0.9999999999999998], ""shared_support"": [2.220446049250313e-16, 100.0], ""source_encoding_drift_rate"": [2.220446049250313e-16, 0.9999999999999998], ""source_learning_rate"": [2.220446049250313e-16, 10.0], ""start_drift_rate"": [2.220446049250313e-16, 0.9999999999999998]}","{""allow_repeated_recalls"": false, ""emotion_scale"": 1.0, ""learn_after_context_update"": true, ""phi_emot_modulates_temporal"": false, ""source_recall_drift_rate"": 1.0}",lpp_ecmr.models.full_eeg_ecmr.make_factory
EEM_eCMR,source,True,False,False,none,12,encoding_drift_rate;start_drift_rate;recall_drift_rate;shared_support;item_support;learning_rate;primacy_scale;primacy_decay;choice_sensitivity;emotion_scale;source_encoding_drift_rate;source_learning_rate,"{""choice_sensitivity"": [2.220446049250313e-16, 100.0], ""emotion_scale"": [2.220446049250313e-16, 10.0], ""encoding_drift_rate"": [2.220446049250313e-16, 0.9999999999999998], ""item_support"": [2.220446049250313e-16, 100.0], ""learning_rate"": [2.220446049250313e-16, 0.9999999999999998], ""primacy_decay"": [2.220446049250313e-16, 100.0], ""primacy_scale"": [2.220446049250313e-16, 100.0], ""recall_drift_rate"": [2.220446049250313e-16, 0.9999999999999998], ""shared_support"": [2.220446049250313e-16, 100.0], ""source_encoding_drift_rate"": [2.220446049250313e-16, 0.9999999999999998], ""source_learning_rate"": [2.220446049250313e-16, 10.0], ""start_drift_rate"": [2.220446049250313e-16, 0.9999999999999998]}","{""allow_repeated_recalls"": false, ""learn_after_context_update"": true, ""lpp_inter_scale"": 0.0, ""lpp_main_scale"": 0.0, ""phi_emot_modulates_temporal"": false, ""source_recall_drift_rate"": 1.0}",lpp_ecmr.models.full_eeg_ecmr.make_factory
EEM_eCMR_LPP_General,source,True,True,False,general,13,encoding_drift_rate;start_drift_rate;recall_drift_rate;shared_support;item_support;learning_rate;primacy_scale;primacy_decay;choice_sensitivity;emotion_scale;lpp_main_scale;source_encoding_drift_rate;source_learning_rate,"{""choice_sensitivity"": [2.220446049250313e-16, 100.0], ""emotion_scale"": [2.220446049250313e-16, 10.0], ""encoding_drift_rate"": [2.220446049250313e-16, 0.9999999999999998], ""item_support"": [2.220446049250313e-16, 100.0], ""learning_rate"": [2.220446049250313e-16, 0.9999999999999998], ""lpp_main_scale"": [0.0, 0.21454430108484696], ""primacy_decay"": [2.220446049250313e-16, 100.0], ""primacy_scale"": [2.220446049250313e-16, 100.0], ""recall_drift_rate"": [2.220446049250313e-16, 0.9999999999999998], ""shared_support"": [2.220446049250313e-16, 100.0], ""source_encoding_drift_rate"": [2.220446049250313e-16, 0.9999999999999998], ""source_learning_rate"": [2.220446049250313e-16, 10.0], ""start_drift_rate"": [2.220446049250313e-16, 0.9999999999999998]}","{""allow_repeated_recalls"": false, ""learn_after_context_update"": true, ""lpp_inter_scale"": 0.0, ""phi_emot_modulates_temporal"": false, ""source_recall_drift_rate"": 1.0}",lpp_ecmr.models.full_eeg_ecmr.make_factory
EEM_eCMR_LPP_EmotionalOnly,source,True,False,True,emotional_only,13,encoding_drift_rate;start_drift_rate;recall_drift_rate;shared_support;item_support;learning_rate;primacy_scale;primacy_decay;choice_sensitivity;emotion_scale;lpp_inter_scale;source_encoding_drift_rate;source_learning_rate,"{""choice_sensitivity"": [2.220446049250313e-16, 100.0], ""emotion_scale"": [2.220446049250313e-16, 10.0], ""encoding_drift_rate"": [2.220446049250313e-16, 0.9999999999999998], ""item_support"": [2.220446049250313e-16, 100.0], ""learning_rate"": [2.220446049250313e-16, 0.9999999999999998], ""lpp_inter_scale"": [0.0, 0.21454430108484696], ""primacy_decay"": [2.220446049250313e-16, 100.0], ""primacy_scale"": [2.220446049250313e-16, 100.0], ""recall_drift_rate"": [2.220446049250313e-16, 0.9999999999999998], ""shared_support"": [2.220446049250313e-16, 100.0], ""source_encoding_drift_rate"": [2.220446049250313e-16, 0.9999999999999998], ""source_learning_rate"": [2.220446049250313e-16, 10.0], ""start_drift_rate"": [2.220446049250313e-16, 0.9999999999999998]}","{""allow_repeated_recalls"": false, ""learn_after_context_update"": true, ""lpp_main_scale"": 0.0, ""phi_emot_modulates_temporal"": false, ""source_recall_drift_rate"": 1.0}",lpp_ecmr.models.full_eeg_ecmr.make_factory
EEM_eCMR_LPP_Full,source,True,True,True,full,14,encoding_drift_rate;start_drift_rate;recall_drift_rate;shared_support;item_support;learning_rate;primacy_scale;primacy_decay;choice_sensitivity;emotion_scale;lpp_main_scale;lpp_inter_scale;source_encoding_drift_rate;source_learning_rate,"{""choice_sensitivity"": [2.220446049250313e-16, 100.0], ""emotion_scale"": [2.220446049250313e-16, 10.0], ""encoding_drift_rate"": [2.220446049250313e-16, 0.9999999999999998], ""item_support"": [2.220446049250313e-16, 100.0], ""learning_rate"": [2.220446049250313e-16, 0.9999999999999998], ""lpp_inter_scale"": [0.0, 0.21454430108484696], ""lpp_main_scale"": [0.0, 0.21454430108484696], ""primacy_decay"": [2.220446049250313e-16, 100.0], ""primacy_scale"": [2.220446049250313e-16, 100.0], ""recall_drift_rate"": [2.220446049250313e-16, 0.9999999999999998], ""shared_support"": [2.220446049250313e-16, 100.0], ""source_encoding_drift_rate"": [2.220446049250313e-16, 0.9999999999999998], ""source_learning_rate"": [2.220446049250313e-16, 10.0], ""start_drift_rate"": [2.220446049250313e-16, 0.9999999999999998]}","{""allow_repeated_recalls"": false, ""learn_after_context_update"": true, ""phi_emot_modulates_temporal"": false, ""source_recall_drift_rate"": 1.0}",lpp_ecmr.models.full_eeg_ecmr.make_factory
