participant,category,recall_status,mean_early_lpp_z,n_trials
202,Negative,Remembered,0.10029000000000005,41
202,Negative,Forgotten,0.365433125,16
202,Neutral,Remembered,-0.08950063076923077,65
202,Neutral,Forgotten,0.507919843902439,41
203,Negative,Remembered,-0.16453470000000003,30
203,Negative,Forgotten,-0.3738656538461539,26
203,Neutral,Remembered,-0.5345875660377357,53
203,Neutral,Forgotten,-0.6424549753846154,65
204,Negative,Remembered,1.7194088055555554,36
204,Negative,Forgotten,1.298007,18
204,Neutral,Remembered,1.15987678125,64
204,Neutral,Forgotten,0.94941,48
205,Negative,Remembered,0.38611807692307687,26
205,Negative,Forgotten,0.05099896551724136,29
205,Neutral,Remembered,0.508820543902439,41
205,Neutral,Forgotten,0.3338219693421053,76
206,Negative,Remembered,0.58467671875,32
206,Negative,Forgotten,0.10372769230769233,26
206,Neutral,Remembered,-0.43198578947368427,38
206,Neutral,Forgotten,-0.029096486486486495,74
207,Negative,Remembered,-0.5150419411764706,34
207,Negative,Forgotten,-0.2724895652173913,23
207,Neutral,Remembered,0.17944062745098038,51
207,Neutral,Forgotten,0.13025498387096773,62
210,Negative,Remembered,1.310668620689655,29
210,Negative,Forgotten,0.8114570851851852,27
210,Neutral,Remembered,0.061320453090909145,55
210,Neutral,Forgotten,0.18430162686567164,67
211,Negative,Remembered,2.4488884,25
211,Negative,Forgotten,1.43810015625,32
211,Neutral,Remembered,0.4350175961538462,52
211,Neutral,Forgotten,0.8924883803030302,66
212,Negative,Remembered,1.156422827586207,29
212,Negative,Forgotten,0.7836408518518518,27
212,Neutral,Remembered,-0.28897495238095233,21
212,Neutral,Forgotten,0.05082079787234038,94
213,Negative,Remembered,0.9241023214285714,28
213,Negative,Forgotten,-0.28299627586206905,29
213,Neutral,Remembered,0.0756137111111111,45
213,Neutral,Forgotten,0.025537665573770525,61
214,Negative,Remembered,1.1683948148148149,27
214,Negative,Forgotten,0.7224021071428571,28
214,Neutral,Remembered,0.048689314814814776,54
214,Neutral,Forgotten,-0.037884342622950824,61
215,Negative,Remembered,0.9670074999999999,28
215,Negative,Forgotten,-0.0353597857142857,28
215,Neutral,Remembered,0.40070216279069765,43
215,Neutral,Forgotten,0.4209015652173913,69
216,Negative,Remembered,1.1177914,35
216,Negative,Forgotten,-0.18733321052631577,19
216,Neutral,Remembered,0.28437767384615387,65
216,Neutral,Forgotten,0.40104202909090914,55
217,Negative,Remembered,1.3550124374999999,32
217,Negative,Forgotten,1.5230241379310345,29
217,Neutral,Remembered,0.9612458852459016,61
217,Neutral,Forgotten,0.2251771111111112,45
218,Negative,Remembered,2.176008536585366,41
218,Negative,Forgotten,1.6799892499999998,20
218,Neutral,Remembered,1.9024160833333335,72
218,Neutral,Forgotten,1.3555664130434786,46
219,Negative,Remembered,1.6734325714285714,28
219,Negative,Forgotten,0.23321760000000005,25
219,Neutral,Remembered,0.3534918235294118,34
219,Neutral,Forgotten,0.8915540604651163,86
220,Negative,Remembered,0.6744934347826088,23
220,Negative,Forgotten,0.3661407941176471,34
220,Neutral,Remembered,1.1254473095238096,42
220,Neutral,Forgotten,0.7196660337662337,77
221,Negative,Remembered,0.35935642857142863,28
221,Negative,Forgotten,0.2541105,34
221,Neutral,Remembered,0.18082749999999995,28
221,Neutral,Forgotten,0.016062559523809524,84
222,Negative,Remembered,0.469601205882353,34
222,Negative,Forgotten,-0.13713,23
222,Neutral,Remembered,-0.0151251113636364,44
222,Neutral,Forgotten,-0.139281,74
223,Negative,Remembered,1.1613472173913046,23
223,Negative,Forgotten,0.9002172413793104,29
223,Neutral,Remembered,0.328668052631579,38
223,Neutral,Forgotten,0.17710043421052632,76
224,Negative,Remembered,-0.38055545454545453,33
224,Negative,Forgotten,0.06615745000000002,20
224,Neutral,Remembered,-0.6773223666666666,30
224,Neutral,Forgotten,-0.38982622727272725,88
225,Negative,Remembered,0.018178182352941198,34
225,Negative,Forgotten,-0.45107714782608693,23
225,Neutral,Remembered,-0.30086669811320754,53
225,Neutral,Forgotten,-0.91879905,60
226,Negative,Remembered,2.013005909090909,22
226,Negative,Forgotten,1.9512014285714288,35
226,Neutral,Remembered,1.0621565789473686,38
226,Neutral,Forgotten,1.3638975178815789,76
227,Negative,Remembered,0.4013643783783783,37
227,Negative,Forgotten,-0.03627949999999998,20
227,Neutral,Remembered,-0.3351088571428572,63
227,Neutral,Forgotten,-0.26169633898305084,59
229,Negative,Remembered,0.5136748636363637,22
229,Negative,Forgotten,0.4797448575757575,33
229,Neutral,Remembered,0.5442677619047619,42
229,Neutral,Forgotten,0.05153194444444445,72
230,Negative,Remembered,1.126847142857143,28
230,Negative,Forgotten,-0.19232039999999997,25
230,Neutral,Remembered,-0.0863094210526316,57
230,Neutral,Forgotten,0.19344334615384615,52
231,Negative,Remembered,1.0402170303030303,33
231,Negative,Forgotten,0.9028309999999999,24
231,Neutral,Remembered,0.31870834000000003,50
231,Neutral,Forgotten,0.5787995714285714,63
232,Negative,Remembered,0.7773233076923076,26
232,Negative,Forgotten,0.7940327187499999,32
232,Neutral,Remembered,0.1250936924528302,53
232,Neutral,Forgotten,0.6024597142857142,63
233,Negative,Remembered,1.2611779032258064,31
233,Negative,Forgotten,1.07628225,28
233,Neutral,Remembered,0.9021983333333333,60
233,Neutral,Forgotten,0.4556438102040817,49
234,Negative,Remembered,0.7553909090909091,22
234,Negative,Forgotten,0.14896541176470582,34
234,Neutral,Remembered,-0.21130733333333337,42
234,Neutral,Forgotten,-0.802213894736842,76
235,Negative,Remembered,1.2679798157894735,38
235,Negative,Forgotten,1.5532,19
235,Neutral,Remembered,0.6214853571428571,56
235,Neutral,Forgotten,0.4040868571428572,63
236,Negative,Remembered,1.2150239761904762,42
236,Negative,Forgotten,0.84550375,16
236,Neutral,Remembered,0.4498783623376624,77
236,Neutral,Forgotten,0.19853762162162164,37
237,Negative,Remembered,1.4911811764705882,17
237,Negative,Forgotten,0.6717486578947369,38
237,Neutral,Remembered,0.41886847222222223,36
237,Neutral,Forgotten,0.7042323086419753,81
238,Negative,Remembered,1.5728128000000001,30
238,Negative,Forgotten,1.0010983928571429,28
238,Neutral,Remembered,0.12558853750000004,16
238,Neutral,Forgotten,0.6698490297029703,101
239,Negative,Remembered,1.8120205499999997,40
239,Negative,Forgotten,1.2288534285714285,21
239,Neutral,Remembered,1.933044653164557,79
239,Neutral,Forgotten,1.5426399615384616,26
240,Negative,Remembered,0.915795612903226,31
240,Negative,Forgotten,0.048309919999999985,25
240,Neutral,Remembered,0.5656759655172414,29
240,Neutral,Forgotten,0.38981583636363637,88
241,Negative,Remembered,1.037750125,40
241,Negative,Forgotten,0.35529704545454543,22
241,Neutral,Remembered,0.7763208421052631,57
241,Neutral,Forgotten,0.4480600961538462,52
242,Negative,Remembered,2.1638112258064512,31
242,Negative,Forgotten,1.1205007259259259,27
242,Neutral,Remembered,1.3174384210526315,19
242,Neutral,Forgotten,1.2087942553191489,94
